perturbation,matched_cosine,matched_pearson_r,specificity_z,gene_specific_p,within_K562_residual,within_RPE1_residual,cross_K562tgt_RPE1basis_residual,cross_RPE1tgt_K562basis_residual,within_K562_reachcos,cross_K562tgt_reachcos,within_RPE1_reachcos,cross_RPE1tgt_reachcos,verdict_within_K562,verdict_cross_K562tgt,verdict_within_RPE1,verdict_cross_RPE1tgt,recipe_jaccard_sametarget,recipe_jaccard_K562_crossbasis,recipe_jaccard_RPE1_crossbasis
SERBP1,0.1657,0.1704,3.556,0.0000,0.9231,0.9549,0.9685,0.9688,0.3846,0.2489,0.2971,0.2478,1,1,1,1,0.0000,0.0000,0.1111
SETD1A,0.4290,0.4372,1.962,0.0150,0.5206,0.3363,0.8452,0.6648,0.8538,0.5344,0.9417,0.7470,1,1,1,1,0.0526,0.0000,0.0526
SETDB1,-0.0017,-0.0017,-0.389,0.6600,0.7671,0.8401,0.9434,0.9265,0.6415,0.3318,0.5425,0.3762,1,1,1,1,0.0526,0.1111,0.0000
SF1,0.2598,0.2595,0.555,0.2550,0.8865,0.6359,0.9323,0.7895,0.4627,0.3618,0.7718,0.6138,1,1,1,1,0.0000,0.0526,0.0526
SF3A2,0.4776,0.4876,2.246,0.0050,0.3891,0.3681,0.7985,0.6839,0.9212,0.6019,0.9298,0.7295,1,1,1,1,0.1111,0.0526,0.1765
SF3B2,0.6469,0.6241,1.905,0.0000,0.2332,0.3748,0.6861,0.6714,0.9724,0.7275,0.9271,0.7411,1,1,1,1,0.1765,0.1111,0.0526
SF3B3,0.6294,0.6197,2.038,0.0050,0.2521,0.2019,0.7080,0.6330,0.9677,0.7062,0.9794,0.7742,1,1,1,1,0.2500,0.0526,0.0526
SF3B4,0.5937,0.6055,1.475,0.0000,0.4030,0.3314,0.7286,0.6490,0.9152,0.6849,0.9435,0.7608,1,1,1,1,0.2500,0.0526,0.1111
SF3B5,0.6296,0.6237,1.975,0.0000,0.3880,0.2454,0.7287,0.6336,0.9217,0.6848,0.9694,0.7736,1,1,1,1,0.2500,0.0526,0.1765
SFPQ,0.5666,0.5291,1.739,0.0000,0.4657,0.4699,0.7579,0.6631,0.8850,0.6524,0.8827,0.7485,1,1,1,1,0.1111,0.1111,0.0526
SFSWAP,0.3155,0.3245,1.407,0.0400,0.6550,0.4312,0.8673,0.6488,0.7556,0.4977,0.9023,0.7610,1,1,1,1,0.1765,0.1765,0.1111
SIN3A,0.4438,0.4294,2.062,0.0000,0.8214,0.6462,0.8985,0.8113,0.5704,0.4390,0.7632,0.5847,1,1,1,1,0.0526,0.2500,0.0000
SKA3,0.2336,0.2014,1.424,0.0600,0.7724,0.3846,0.9023,0.6704,0.6351,0.4310,0.9231,0.7420,1,1,1,1,0.1765,0.1111,0.1765
SKP1,0.2060,0.2234,3.410,0.0000,0.7684,0.8620,0.9372,0.9336,0.6400,0.3487,0.5070,0.3584,1,1,1,1,0.0526,0.0526,0.0000
SLBP,0.3354,0.3478,3.334,0.0000,0.5299,0.3586,0.8900,0.6446,0.8481,0.4560,0.9335,0.7645,1,1,1,1,0.3333,0.0526,0.0526
SLC39A9,0.4221,0.4221,2.694,0.0000,0.7618,0.7980,0.8981,0.8744,0.6478,0.4399,0.6026,0.4852,1,1,1,1,0.1765,0.1765,0.2500
SLC7A6OS,0.2582,0.2500,1.438,0.0400,0.7367,0.4203,0.9124,0.7426,0.6762,0.4092,0.9074,0.6698,1,1,1,1,0.0000,0.0000,0.0000
SLU7,0.5895,0.5820,2.142,0.0150,0.3676,0.2935,0.7335,0.6333,0.9300,0.6797,0.9560,0.7739,1,1,1,1,0.1765,0.0000,0.0526
SMARCB1,0.1106,0.1133,0.769,0.2150,0.9551,0.5771,0.9794,0.7477,0.2963,0.2019,0.8167,0.6641,1,1,1,1,0.0526,0.0000,0.0000
SMC1A,0.3300,0.3494,-0.036,0.5700,0.4270,0.3046,0.7795,0.6479,0.9043,0.6264,0.9525,0.7617,1,1,1,1,0.2500,0.0000,0.0526
SMC2,0.4904,0.5496,0.966,0.0450,0.5706,0.2978,0.7611,0.6030,0.8212,0.6486,0.9546,0.7978,1,1,1,1,0.0000,0.0526,0.0526
SMC3,0.2417,0.2412,-0.685,0.8150,0.5112,0.7390,0.7988,0.8819,0.8594,0.6016,0.6737,0.4715,1,1,1,1,0.2500,0.0000,0.0000
SMC4,0.3919,0.4233,0.731,0.1650,0.6204,0.3060,0.8122,0.6157,0.7843,0.5834,0.9520,0.7880,1,1,1,1,0.0000,0.0000,0.0000
SMG5,0.8228,0.8169,7.902,0.0000,0.6744,0.3587,0.6124,0.7062,0.7384,0.7906,0.9335,0.7080,1,1,1,1,0.1111,0.1111,0.1111
SMN2,0.6348,0.6252,1.759,0.0000,0.2308,0.1304,0.7167,0.6252,0.9730,0.6974,0.9915,0.7805,1,1,1,1,0.2500,0.0000,0.0526
