gene,condition_raw,donor_corr_all_mean,donor_corr_all_min,donor_corr_hits_mean,guide_corr_all,guide_corr_signif,ontarget_effect_size,ontarget_significant,n_cells_target
ACAT2,Stim8hr,,,,0.1802602136821151,0.5824977935318366,-10.805804733360002,True,429.0
ACBD3,Rest,,,,0.1018538446758615,1.0,-16.272235087611012,True,633.0
ACBD3,Stim48hr,,,,0.0757099535537047,0.7115589659428035,-17.583676343673705,True,539.0
ACBD3,Stim8hr,,,,0.1011895025209292,1.0,-16.611143534504006,True,489.0
ACBD4,Rest,,,,,,-2.6130925644351954,False,103.0
ACBD4,Stim48hr,,,,,,-3.382506265657732,False,118.0
ACBD4,Stim8hr,,,,,,-2.5902739254372515,False,110.0
ACBD5,Rest,,,,0.084126678364875,0.922527111379642,-19.15626252139305,True,1186.0
ACBD5,Stim48hr,,,,0.0907579555949197,0.7914117661085102,-22.502978669025936,True,1302.0
ACBD5,Stim8hr,,,,0.1240902975246943,0.8256429358086687,-21.45103735265129,True,1233.0
ACBD6,Rest,,,,0.1089752860988548,0.9672574548164742,-17.9236325858229,True,553.0
ACBD6,Stim48hr,,,,0.0568092305081542,0.7887996249677964,-23.471612977852388,True,616.0
ACBD6,Stim8hr,,,,0.0941241199121833,0.926622632242984,-24.684726966032063,True,575.0
ACCS,Rest,,,,0.1730002569023083,,-5.209199034122852,True,692.0
ACCS,Stim48hr,,,,0.0221819536018183,,-4.623674357982529,True,617.0
ACCS,Stim8hr,,,,0.0885887674363741,,-2.909487602026226,False,582.0
ACD,Stim48hr,,,,,,0.6674452614921779,False,37.0
ACE,Rest,,,,0.002147220351493,-1.0,-2.9344451458721483,False,358.0
ACE,Stim48hr,,,,0.0047483229951223,,-0.3712592443787718,False,356.0
ACE,Stim8hr,,,,0.068613920723061,,-1.2506176195268977,False,344.0
ACER1,Rest,,,,,,0.0,False,486.0
ACER1,Stim48hr,,,,,,0.0,False,452.0
ACER1,Stim8hr,,,,,,0.0,False,469.0
ACER2,Rest,,,,-0.1622000616782804,-0.4875228202736707,0.0,False,1128.0
ACER2,Stim48hr,,,,-0.0640265361468325,-0.4853057357849717,0.0,False,1330.0
ACER2,Stim8hr,,,,-0.1245550707263916,-0.3179541969922339,0.0,False,1098.0
ACER3,Rest,,,,-0.0021018005634644,0.7544488410625932,-8.677089087650769,True,1054.0
ACER3,Stim48hr,,,,0.0600275213681895,,-10.1524298274868,True,908.0
ACER3,Stim8hr,,,,0.0389666478062005,0.9318337662212928,-8.624492301351646,True,923.0
ACIN1,Rest,,,,,,-4.1813565275400615,False,231.0
ACIN1,Stim48hr,,,,,,-1.308012952565659,False,240.0
ACIN1,Stim8hr,,,,,,-3.914098466239004,False,221.0
ACKR3,Rest,,,,0.099612828247413,,-2.014723203006691,False,802.0
ACKR3,Stim48hr,,,,0.0088128014263429,,-0.8313655144125336,False,837.0
ACKR3,Stim8hr,,,,0.1044465635295144,,-0.5364924577781364,False,820.0
ACLY,Rest,,,,0.0929377992795533,0.8857441236175799,-16.501470272077427,True,433.0
ACLY,Stim48hr,0.3477412556833494,0.3456251912444207,0.7842797689239841,0.3292834513291185,0.716453561143812,-17.329000580256267,True,282.0
ACLY,Stim8hr,0.1709957062039015,0.1016018343359159,0.7377628422684716,0.2031933044073306,0.7011820157982187,-20.366812167232048,True,396.0
ACO1,Rest,,,,0.1227376132925611,,-5.708908955036756,True,550.0
ACO1,Stim48hr,,,,0.1446467930279599,,-7.084121858580332,True,473.0
ACO1,Stim8hr,,,,0.1263076425224032,,-5.026305999780765,True,501.0
ACO2,Rest,,,,,,-1.5768909230011994,False,172.0
ACO2,Stim48hr,,,,,,-0.3897618859360217,False,185.0
ACO2,Stim8hr,-0.0116324052408479,-0.0416102167858643,0.0012569116260821,,,-2.8636806537558903,False,172.0
ACOT13,Rest,,,,0.0556811101869561,0.9782130588779896,-12.896333920596527,True,582.0
ACOT13,Stim48hr,,,,0.0619466104351526,0.0971309760641202,-24.91311138055854,True,779.0
ACOT13,Stim8hr,,,,0.1017769846331487,0.9771563060262898,-15.54027005223792,True,641.0
ACOT2,Rest,,,,0.1063598443489223,,0.0,False,779.0
ACOT2,Stim48hr,,,,0.075776386643966,,0.0,False,773.0
ACOT2,Stim8hr,,,,0.0866536439639308,,0.0,False,702.0
ACOT4,Rest,,,,0.116268996226085,,-3.073421406337113,False,673.0
ACOT4,Stim48hr,,,,0.0915664690939773,,-3.457492366327685,False,763.0
ACOT4,Stim8hr,,,,0.0835215470562148,,-5.706929091127611,True,694.0
ACOT7,Rest,,,,-0.0202913842864019,1.0,-10.98832680375662,True,612.0
ACOT7,Stim48hr,0.1779207680750423,0.1032874823231282,0.8066728461833469,0.0054511034839369,-0.1054212765165261,-8.368006158280217,True,448.0
ACOT7,Stim8hr,,,,0.0458789055860126,0.8031792715314925,-12.624177366531471,True,642.0
ACOT8,Rest,,,,-0.0196218798302183,0.8042031552943895,-16.069222430895806,True,1241.0
ACOT8,Stim48hr,,,,0.0906058182402562,0.8940565282396589,-17.33171987069543,True,1134.0
ACOT8,Stim8hr,,,,-0.0144574402453474,0.9528309819770664,-11.674919952869582,True,929.0
ACOT9,Rest,,,,,,-11.258948317647151,True,419.0
ACOT9,Stim48hr,,,,0.0760149222700483,0.4610373068677019,-16.620907165217584,True,395.0
ACOT9,Stim8hr,,,,,,-13.120475139200469,True,462.0
ACOX1,Rest,,,,0.1891664856731885,0.4624965133098884,-12.597211652229111,True,592.0
ACOX1,Stim48hr,,,,0.0215321297113962,0.4803159003182478,-13.745917007104502,True,605.0
ACOX1,Stim8hr,,,,0.12244679795183,0.6032197723505006,-11.668067217215327,True,603.0
ACOX3,Rest,,,,-0.0454761308930457,,-2.749509280645446,False,628.0
ACOX3,Stim48hr,,,,-0.0508667424125248,0.7373516955793125,-7.173882216949195,True,861.0
